hs2	219081817	219119079	hs1	153634512	153643524
hs2	69688532	69901481	hs16	2479395	2508855
hs2	69688532	69901481	hs17	10583654	10601692
hs16	2479395	2508855	hs11	92085262	92629618
hs11	77532155	77629478	hs9	130628759	130640022
hs9	130628759	130640022	hs2	64068074	64118696
hs9	130628759	130640022	hs19	11495017	11530018
hs2	219128850	219134980	hsX	48830134	48858675
hs2	219128850	219134980	hs11	62443970	62446567
hs2	219128850	219134980	hs9	139756571	139760738
hs2	219128850	219134980	hs11	65729160	65747299
hsX	48830134	48858675	hs19	5587010	5624057
hsX	48830134	48858675	hs19	54610320	54619055
hsX	48830134	48858675	hs1	155225770	155232221
hsX	48830134	48858675	hs19	5623046	5668489
hsX	48830134	48858675	hs1	1152288	1167411
hsX	48830134	48858675	hs11	62443970	62446567
hsX	48830134	48858675	hs11	65729160	65747299
hs9	139756571	139760738	hs16	1821891	1823156
hs9	139756571	139760738	hs2	27604061	27632554
hs9	139756571	139760738	hs7	73097355	73119491
hs9	139756571	139760738	hs19	7991603	8008805
hs9	139756571	139760738	hs4	3508103	3534286
hs9	139756571	139760738	hs7	99746530	99753567
hs9	139756571	139760738	hs1	1152288	1167411
hs9	139756571	139760738	hs19	13064972	13068050
hs9	139756571	139760738	hs11	64008475	64011604
hs9	139756571	139760738	hsX	153672473	153679002
hs9	139756571	139760738	hs11	65729160	65747299
hs9	139756571	139760738	hsX	48830134	48858675
hs9	139756571	139760738	hs11	62443970	62446567
hs2	220143989	220151622	hs1	879584	894689
hs2	220143989	220151622	hs1	27226729	27273353
hs2	220143989	220151622	hs16	3072621	3074287
hs2	220143989	220151622	hs1	154897210	154909467
hs2	220143989	220151622	hs6	33738979	33756913
hs2	220143989	220151622	hs11	65729160	65747299
hs2	27604061	27632554	hsX	118967985	118986961
hs2	27604061	27632554	hs9	15464064	15511017
hs2	27604061	27632554	hs7	102004319	102067123
hs2	27604061	27632554	hsX	15808595	15841383
hs2	27604061	27632554	hs11	64851695	64855870
hs2	27604061	27632554	hs19	5623046	5668489
hs2	27604061	27632554	hs11	65729160	65747299
hs11	65729160	65747299	hs19	13254872	13261197
hs11	65729160	65747299	hs6	33168222	33172216
hs11	65729160	65747299	hsX	102862379	102884618
hs11	65729160	65747299	hs19	54610320	54619055
hs11	65729160	65747299	hs1	1152288	1167411
hs11	65729160	65747299	hs19	7991603	8008805
hs11	65729160	65747299	hs19	19386827	19431653
hs11	65729160	65747299	hs16	31044210	31054296
hs11	65729160	65747299	hs9	136223428	136228045
hs11	65729160	65747299	hsX	54466834	54471920
hs11	65729160	65747299	hs17	34136459	34191619
hs6	44267391	44281063	hs13	51928213	52028400
hs13	51928213	52028400	hs8	55370495	55373448
hs13	51928213	52028400	hs6	155054459	155155192
hs13	51928213	52028400	hs19	41223008	41246765
hs13	51928213	52028400	hs12	57392618	57400230
hs13	51928213	52028400	hs19	36936021	36980804
hs13	51928213	52028400	hs6	149825869	149867174
hs7	121715701	121784334	hs12	133264192	133297276
hs7	121715701	121784334	hs4	108910870	108956331
hs7	121715701	121784334	hs15	41523037	41574043
hs7	121715701	121784334	hs12	66582659	66648402
hs7	121715701	121784334	hs14	74523553	74551196
hs7	121715701	121784334	hs3	124480795	124620265
hs12	133264192	133297276	hs1	17345217	17380665
hs12	133264192	133297276	hs10	76969912	76991206
hs12	133264192	133297276	hs3	98451080	98540045
