"SUID","EdgeBetweenness","interaction","MI sano","MI_","name","selected","shared interaction","shared name"
"35641","10696.24474391","0.198389",,"0.198389","HIBADH (0.198389) STRADB","false","0.198389","HIBADH (0.198389) STRADB"
"35642","8426.0","0.175135",,"0.175135","PYCR2 (0.175135) UBE2O","false","0.175135","PYCR2 (0.175135) UBE2O"
"35643","8042.47029422","0.176948",,"0.176948","PYCR2 (0.176948) REPS1","false","0.176948","PYCR2 (0.176948) REPS1"
"35644","6043.44583461","0.175496",,"0.175496","SAT2 (0.175496) TIMM10B","false","0.175496","SAT2 (0.175496) TIMM10B"
"35645","42090.0","0.18041",,"0.18041","ETHE1 (0.18041) MTA2","false","0.18041","ETHE1 (0.18041) MTA2"
"35646","33680.0","0.187995",,"0.187995","ETHE1 (0.187995) HIPK2","false","0.187995","ETHE1 (0.187995) HIPK2"
"35647","16848.0","0.183717",,"0.183717","HIPK2 (0.183717) HMGA1","false","0.183717","HIPK2 (0.183717) HMGA1"
"35648","4987.04266367","0.174721",,"0.174721","MZT1 (0.174721) TMED7","false","0.174721","MZT1 (0.174721) TMED7"
"35649","968.29660644","0.192244",,"0.192244","MZT1 (0.192244) TMEM106B","false","0.192244","MZT1 (0.192244) TMEM106B"
"35650","5270.76693716","0.200662",,"0.200662","MZT1 (0.200662) TWSG1","false","0.200662","MZT1 (0.200662) TWSG1"
"35651","11889.15303232","0.179246",,"0.179246","PGGT1B (0.179246) ZNF558","false","0.179246","PGGT1B (0.179246) ZNF558"
"35652","8426.0","0.183547",,"0.183547","PGGT1B (0.183547) SPTSSA","false","0.183547","PGGT1B (0.183547) SPTSSA"
"35653","17910.68427773","0.180228",,"0.180228","MFF (0.180228) TWSG1","false","0.180228","MFF (0.180228) TWSG1"
"35654","25266.0","0.188459",,"0.188459","MFF (0.188459) TEX261","false","0.188459","MFF (0.188459) TEX261"
"35655","6539.85056125","0.187821",,"0.187821","SCAMP1 (0.187821) TWSG1","false","0.187821","SCAMP1 (0.187821) TWSG1"
"35656","12487.83792107","0.223146",,"0.223146","SCAMP1 (0.223146) SCOC","false","0.223146","SCAMP1 (0.223146) SCOC"
"35657","8895.17754275","0.268232",,"0.268232","SCAMP1 (0.268232) TMED7","false","0.268232","SCAMP1 (0.268232) TMED7"
"35658","2776.46029993","0.179631",,"0.179631","ETS2 (0.179631) FAM217B","false","0.179631","ETS2 (0.179631) FAM217B"
"35659","1851.49588749","0.183198",,"0.183198","ETS2 (0.183198) LDLR","false","0.183198","ETS2 (0.183198) LDLR"
"35660","5606.37194674","0.195815",,"0.195815","ETS2 (0.195815) SH3BP4","false","0.195815","ETS2 (0.195815) SH3BP4"
"35661","1610.85875756","0.219834",,"0.219834","ETS2 (0.219834) FAM110D","false","0.219834","ETS2 (0.219834) FAM110D"
"35662","588.09383156","0.177296",,"0.177296","FAM110D (0.177296) SRSF7","false","0.177296","FAM110D (0.177296) SRSF7"
"35663","280.00603515","0.189479",,"0.189479","FAM110D (0.189479) GRASP","false","0.189479","FAM110D (0.189479) GRASP"
"35664","4966.3079431","0.193568",,"0.193568","FAM110D (0.193568) ZBTB21","false","0.193568","FAM110D (0.193568) ZBTB21"
"35665","1641.05003818","0.21537",,"0.21537","FAM110D (0.21537) FOSL2","false","0.21537","FAM110D (0.21537) FOSL2"
"35666","304.74257678","0.208597",,"0.208597","FAM150B (0.208597) NTF3","false","0.208597","FAM150B (0.208597) NTF3"
"35667","7901.30827556","0.177285",,"0.177285","EVC (0.177285) GLT8D2","false","0.177285","EVC (0.177285) GLT8D2"
"35668","2503.83041738","0.182785",,"0.182785","EVC (0.182785) PDLIM2","false","0.182785","EVC (0.182785) PDLIM2"
"35669","14427.91178778","0.201323",,"0.201323","EVC (0.201323) FN1","false","0.201323","EVC (0.201323) FN1"
"35670","7103.45130456","0.202254",,"0.202254","EVC (0.202254) TSHZ2","false","0.202254","EVC (0.202254) TSHZ2"
"35671","16848.0","0.177138",,"0.177138","EVC2 (0.177138) LTBP2","false","0.177138","EVC2 (0.177138) LTBP2"
"35672","8426.0","0.191621",,"0.191621","EVC2 (0.191621) JAM3","false","0.191621","EVC2 (0.191621) JAM3"
"35673","7273.24291199","0.177007",,"0.177007","EVI5L (0.177007) RPL35A","false","0.177007","EVI5L (0.177007) RPL35A"
"35674","8426.0","0.184901",,"0.184901","EVI5L (0.184901) RSL24D1","false","0.184901","EVI5L (0.184901) RSL24D1"
"35675","13288.21782164","0.185429",,"0.185429","EVI5L (0.185429) RFX5","false","0.185429","EVI5L (0.185429) RFX5"
"35676","8426.0","0.179748",,"0.179748","RFX5 (0.179748) YPEL2","false","0.179748","RFX5 (0.179748) YPEL2"
