hs17	7281667	7288257	31
hs19	33299934	33302564	18
hs12	111766887	111817529	8
hs9	136673143	136687423	34
hs1	220786759	220819657	23
hs1	75724347	75787575	6
hs8	17027238	17122644	3
hs7	107890970	107931730	7
hs2	206114817	206159603	1
hs13	47936491	48001354	7
hs12	120725735	120740008	7
hs22	19431902	19436075	5
hs17	45393902	45434421	1
hs17	28394756	28407197	2
hs14	52857268	52952435	4
hs22	37010859	37020183	1
hs3	195274736	195443078	7
hs1	185045364	185102608	7
hs2	188291669	188595931	6
hs11	108121516	108147776	4
hs1	160091340	160098943	6
hs6	136342281	136550819	25
hs15	56087280	56243266	2
hs4	176319964	176332245	2
hs13	34942287	35673022	1
hs9	94603133	94640249	3
hs1	71395940	72282734	14
hs3	171600405	171810950	3
hs10	133262403	133276868	1
hs15	82836946	82986153	16
hs4	143184917	143223830	3
hs5	43289395	43313512	11
hs14	55124110	55145413	1
hs8	11795573	11839309	7
hs13	20702127	20723098	9
hs2	191245185	191425389	9
hs19	35030684	35040448	24
hsX	48521158	48528716	4
hs1	226144679	226186730	2
hs5	72955981	73090522	3
hs10	35247025	35572669	1
hs10	27195214	27242130	5
hs22	40410281	40636702	3
hs16	67657512	67660815	1
hs1	153947669	153958625	1
hs11	76860867	77026797	1
hs4	2843857	2930076	16
hs1	159203307	159206500	1
hs1	169588849	169630193	1
hs3	42804752	42887974	1
hs5	177456608	177474401	22
hs20	41178448	41317672	8
hs12	14825569	14843495	9
hs3	42856005	42876165	1
hs3	13549131	13638422	9
hs11	125955796	126063335	16
hs4	8269765	8307111	15
hs1	150549369	150560937	15
hs1	53062052	53085502	7
hs12	7080209	7092607	1
hs13	30906191	30925572	11
hs1	155195588	155209051	14
hs20	49503874	49568146	11
hs5	180300690	180353387	13
hs17	67991101	67993649	14
hs19	55488404	55519098	20
hs19	48321509	48330553	23
hs12	53097436	53102345	29
hs16	67389809	67393535	7
hs12	130953907	131141469	25
hs3	45001548	45036071	18
hs3	132597237	132618967	2
hs6	112108760	112254939	27
hs13	77044655	77327050	1
hs20	34872146	34927962	1
hs12	59596067	59789855	10
hs8	144314584	144326910	13
hsX	19343893	19361705	29
hs4	79901149	80125454	6
hs15	77041404	77083984	49
hs22	41469125	41528989	2
hs1	46632737	46673867	1
hs2	175176258	175184607	2
hs19	41397460	41431345	17
hs1	17018722	17054170	18
hs10	71396934	71815947	5
hs9	136940435	136944696	1
hs7	66921225	66958551	3
hs8	144095027	144097525	20
hs20	35302566	35412141	1
hs12	56638175	56646068	9
hs1	100186919	100249834	19
hs19	34359480	34402156	18
hs19	48968125	48993310	28
hs14	73537114	73543794	2
hs14	67647075	67674831	3
hs14	73567620	73575658	2
hs4	151670504	151761023	24
hs14	105248490	105251093	4
hs20	45841721	45857406	3
hs11	73872667	73876988	11
hs2	27070472	27071773	2
hs17	75941507	75979363	8
hs1	150960583	150975004	3
hs2	27130756	27134675	6
hs14	89124871	89619149	6
hs3	58505136	58537319	1
hs1	159289714	159308224	2
hs19	11574660	11579008	5
hs1	23845077	23868294	6
hs11	1752752	1763992	1
hs19	18173162	18178117	1
hs1	26317957	26320523	5
hs7	128937612	128950035	3
hsX	71578411	71613583	1
hs18	23503470	23531807	9
hs16	89088375	89155846	2
hs11	45909669	45918812	4
hs11	818902	825573	3
hs6	166364919	166383013	1
