"SUID","EdgeBetweenness","interaction","MI sano","MI_","MI_enfermos","name","selected","shared interaction","shared name"
"41128","4.98571429","0.288954",,,"0.288954","ADD1 (0.288954) RNF4","false","0.288954","ADD1 (0.288954) RNF4"
"41129","4.68571429","0.291452",,,"0.291452","ADD1 (0.291452) FAM193A","false","0.291452","ADD1 (0.291452) FAM193A"
"41130","4.24126984","0.17763",,,"0.17763","LETM1 (0.17763) TACC3","false","0.17763","LETM1 (0.17763) TACC3"
"41131","9.23333333","0.195221",,,"0.195221","LETM1 (0.195221) RNF4","false","0.195221","LETM1 (0.195221) RNF4"
"41132","3.66666667","0.228108",,,"0.228108","LETM1 (0.228108) NELFA","false","0.228108","LETM1 (0.228108) NELFA"
"41133","5.9","0.275042",,,"0.275042","LETM1 (0.275042) WHSC1","false","0.275042","LETM1 (0.275042) WHSC1"
"41134","6.26293651","0.160807",,,"0.160807","MRFAP1L1 (0.160807) SLBP","false","0.160807","MRFAP1L1 (0.160807) SLBP"
"41135","13.37808802","0.16396",,,"0.16396","MRFAP1L1 (0.16396) WHSC1","false","0.16396","MRFAP1L1 (0.16396) WHSC1"
"41136","11.47222222","0.180747",,,"0.180747","MRFAP1L1 (0.180747) STX18","false","0.180747","MRFAP1L1 (0.180747) STX18"
"41137","8.67087302","0.186562",,,"0.186562","MRFAP1L1 (0.186562) RNF4","false","0.186562","MRFAP1L1 (0.186562) RNF4"
"41138","9.46849206","0.188002",,,"0.188002","MRFAP1L1 (0.188002) NELFA","false","0.188002","MRFAP1L1 (0.188002) NELFA"
"41139","4.84444444","0.229302",,,"0.229302","MRFAP1L1 (0.229302) TADA2B","false","0.229302","MRFAP1L1 (0.229302) TADA2B"
"41140","27.43492063","0.165794",,,"0.165794","GAK (0.165794) TMEM175","false","0.165794","GAK (0.165794) TMEM175"
"41141","9.99444444","0.170691",,,"0.170691","GAK (0.170691) STX18","false","0.170691","GAK (0.170691) STX18"
"41142","7.72222222","0.173044",,,"0.173044","GAK (0.173044) LETM1","false","0.173044","GAK (0.173044) LETM1"
"41143","16.26959707","0.174246",,,"0.174246","GAK (0.174246) PIGG","false","0.174246","GAK (0.174246) PIGG"
"41144","16.03333333","0.188529",,,"0.188529","GAK (0.188529) PCGF3","false","0.188529","GAK (0.188529) PCGF3"
"41145","6.13809524","0.192249",,,"0.192249","GAK (0.192249) ZNF721","false","0.192249","GAK (0.192249) ZNF721"
"41146","9.13738095","0.197229",,,"0.197229","GAK (0.197229) HAUS3","false","0.197229","GAK (0.197229) HAUS3"
"41147","7.74365079","0.211988",,,"0.211988","GAK (0.211988) WHSC1","false","0.211988","GAK (0.211988) WHSC1"
"41148","8.27765568","0.21704",,,"0.21704","GAK (0.21704) SLBP","false","0.21704","GAK (0.21704) SLBP"
"41149","6.4","0.235658",,,"0.235658","GAK (0.235658) NELFA","false","0.235658","GAK (0.235658) NELFA"
"41150","4.33793651","0.259105",,,"0.259105","GAK (0.259105) MAEA","false","0.259105","GAK (0.259105) MAEA"
"41151","12.68241758","0.267581",,,"0.267581","GAK (0.267581) RNF4","false","0.267581","GAK (0.267581) RNF4"
"41152","22.35714286","0.188878",,,"0.188878","NOP14-AS1 (0.188878) RNF4","false","0.188878","NOP14-AS1 (0.188878) RNF4"
"41153","5.91904762","0.168772",,,"0.168772","TACC3 (0.168772) TNIP2","false","0.168772","TACC3 (0.168772) TNIP2"
"41154","5.69365079","0.185568",,,"0.185568","TACC3 (0.185568) WHSC1","false","0.185568","TACC3 (0.185568) WHSC1"
"41155","14.85860806","0.167314",,,"0.167314","MAEA (0.167314) TADA2B","false","0.167314","MAEA (0.167314) TADA2B"
"41156","32.56507937","0.168108",,,"0.168108","MAEA (0.168108) TMEM175","false","0.168108","MAEA (0.168108) TMEM175"
"41157","10.77777778","0.169717",,,"0.169717","MAEA (0.169717) STX18","false","0.169717","MAEA (0.169717) STX18"
"41158","11.10714286","0.171956",,,"0.171956","MAEA (0.171956) TACC3","false","0.171956","MAEA (0.171956) TACC3"
"41159","17.25824176","0.175463",,,"0.175463","MAEA (0.175463) PIGG","false","0.175463","MAEA (0.175463) PIGG"
"41160","7.23809524","0.181449",,,"0.181449","MAEA (0.181449) ZNF721","false","0.181449","MAEA (0.181449) ZNF721"
"41161","8.34336996","0.186293",,,"0.186293","MAEA (0.186293) SLBP","false","0.186293","MAEA (0.186293) SLBP"
"41162","20.4","0.188594",,,"0.188594","MAEA (0.188594) PCGF3","false","0.188594","MAEA (0.188594) PCGF3"
"41163","8.94269841","0.19444",,,"0.19444","MAEA (0.19444) WHSC1","false","0.19444","MAEA (0.19444) WHSC1"
"41164","7.94349206","0.220813",,,"0.220813","MAEA (0.220813) NELFA","false","0.220813","MAEA (0.220813) NELFA"
"41165","12.23702076","0.291792",,,"0.291792","MAEA (0.291792) RNF4","false","0.291792","MAEA (0.291792) RNF4"
"41166","19.17009657","0.159306",,,"0.159306","CTBP1 (0.159306) TNIP2","false","0.159306","CTBP1 (0.159306) TNIP2"
"41167","31.3989122","0.159913",,,"0.159913","CTBP1 (0.159913) MRFAP1","false","0.159913","CTBP1 (0.159913) MRFAP1"
"41168","60.0","0.160197",,,"0.160197","CTBP1 (0.160197) TMEM129","false","0.160197","CTBP1 (0.160197) TMEM129"
"41169","26.47216117","0.16193",,,"0.16193","CTBP1 (0.16193) PIGG","false","0.16193","CTBP1 (0.16193) PIGG"
"41170","11.8047619","0.166955",,,"0.166955","CTBP1 (0.166955) ZNF721","false","0.166955","CTBP1 (0.166955) ZNF721"
"41171","15.21954712","0.169387",,,"0.169387","CTBP1 (0.169387) TADA2B","false","0.169387","CTBP1 (0.169387) TADA2B"
"41172","10.39359474","0.182338",,,"0.182338","CTBP1 (0.182338) SLBP","false","0.182338","CTBP1 (0.182338) SLBP"
"41173","13.03833333","0.185444",,,"0.185444","CTBP1 (0.185444) LETM1","false","0.185444","CTBP1 (0.185444) LETM1"
"41174","11.52039072","0.195238",,,"0.195238","CTBP1 (0.195238) TACC3","false","0.195238","CTBP1 (0.195238) TACC3"
"41175","20.24999389","0.206787",,,"0.206787","CTBP1 (0.206787) FAM193A","false","0.206787","CTBP1 (0.206787) FAM193A"
"41176","10.71055556","0.213449",,,"0.213449","CTBP1 (0.213449) NELFA","false","0.213449","CTBP1 (0.213449) NELFA"
