hs19	1876810	1885547	hs19	2328615	2354806
hs19	1876810	1885547	hs19	1941149	1981338
hs19	1876810	1885547	hs19	10832438	10836318
hs19	1876810	1885547	hs19	48469032	48482314
hs19	1876810	1885547	hs19	18418864	18434562
hs19	1876810	1885547	hs19	507497	519654
hs20	63520724	63522206	hs20	35953617	35959472
hs20	63520724	63522206	hs20	50081124	50115959
hs19	48469032	48482314	hs19	13144058	13150383
hs19	48469032	48482314	hs19	42068477	42081565
hs11	65890112	65891635	hs11	6318946	6320647
hs11	63974607	63976543	hs11	65961689	65979828
hs19	10572671	10587315	hs19	8413270	8439017
hs19	10572671	10587315	hs19	44777869	44800634
hs19	10572671	10587315	hs19	35115879	35124324
hs19	10572671	10587315	hs19	3708109	3750813
hs19	10572671	10587315	hs19	7595902	7618304
hs17	49210227	49223225	hs17	4710489	4721499
hs9	130713946	130887675	hs9	128203352	128255248
hs9	128203352	128255248	hs9	98807699	98850081
hs5	160347751	160370641	hs5	83471465	83582303
hs5	160347751	160370641	hs5	180300690	180353387
hs5	160347751	160370641	hs5	177456608	177474401
hs10	114431113	114685003	hs10	114120862	114174220
hs3	38103129	38137242	hs3	38007496	38029762
hs20	56392371	56406369	hs20	63195429	63216234
hs4	158672125	158709623	hs4	151409216	151663632
hs4	158672125	158709623	hs4	151670504	151761023
hs3	183015218	183116075	hs3	136250306	136337896
hs12	109116595	109268226	hs12	55720367	55724705
hs12	109116595	109268226	hs12	111766887	111817529
hs9	136673143	136687423	hs9	112379937	112472410
hs15	82836946	82986153	hs15	42412823	42491123
hs5	43289395	43313512	hs5	6599239	6633291
hs5	72955981	73090522	hs5	132996985	133026604
hs1	159203307	159206500	hs1	169588849	169630193
hs3	42804752	42887974	hs3	42856005	42876165
hs5	177456608	177474401	hs5	180300690	180353387
hs12	14825569	14843495	hs12	56994446	56998441
hs3	42856005	42876165	hs3	44975241	45036066
hs11	125955796	126063335	hs11	7485388	7511377
hs11	125955796	126063335	hs11	120210767	120230332
hs1	150549369	150560937	hs1	53062052	53085502
hs1	150549369	150560937	hs1	207880972	207911402
hs12	7080209	7092607	hs12	6988259	7071032
hs1	155195588	155209051	hs1	162561506	162599842
hs20	49503874	49568146	hs20	44714844	44728509
hs19	48321509	48330553	hs19	40592883	40629818
hs19	48321509	48330553	hs19	55488404	55519098
hs12	130953907	131141469	hs12	53097436	53102345
hs3	45001548	45036071	hs3	13549131	13638422
hs15	77041404	77083984	hs15	41557675	41583586
hs1	46632737	46673867	hs1	244652935	244709033
hs1	46632737	46673867	hs1	233904933	234324516
hs1	46632737	46673867	hs1	236795281	236903981
hs1	46632737	46673867	hs1	17018722	17054170
hs1	46632737	46673867	hs1	100186919	100249834
hs1	46632737	46673867	hs1	36455718	36464437
hs1	46632737	46673867	hs1	27934993	27959157
hs19	41397460	41431345	hs19	10333776	10339823
hs19	41397460	41431345	hs19	12891026	12914207
hs1	17018722	17054170	hs1	46303631	46316776
hs9	136940435	136944696	hs9	135499984	135504673
hs8	144095027	144097525	hs8	144314584	144326910
hs12	56638175	56646068	hs12	98593591	98606379
hs12	56638175	56646068	hs12	56271699	56300392
hs1	100186919	100249834	hs1	17018722	17054170
hs1	100186919	100249834	hs1	23801885	23838620
hs19	34359480	34402156	hs19	48332356	48364237
hs19	48968125	48993310	hs19	29205321	29213541
hs14	73537114	73543794	hs14	67647075	67674831
hs14	73537114	73543794	hs14	73567620	73575658
hs14	73567620	73575658	hs14	67647075	67674831
hs14	73567620	73575658	hs14	105248490	105251093
hs14	105248490	105251093	hs14	51826195	51979342
hs14	105248490	105251093	hs14	105300563	105398147
hs14	105248490	105251093	hs14	37589984	37596059
hs14	105248490	105251093	hs14	67647075	67674831
hs19	11574660	11579008	hs19	18173162	18178117
hs1	23845077	23868294	hs1	5991466	6101193
hs1	23845077	23868294	hs1	182789293	182830384
hs19	18173162	18178117	hs19	18153118	18170540
hs19	38647649	38731583	hs19	38730187	38769904
hs10	102479229	102502711	hs10	92451684	92574076
hs1	162631373	162787400	hs1	6221193	6235972
hs1	162631373	162787400	hs1	155610205	155614967
hs1	162631373	162787400	hs1	113929192	113977869
hs3	47282917	47346816	hs3	57556276	57566844
hs3	38453851	38493142	hs3	44431720	44477670
hs3	38453851	38493142	hs3	40524878	40574685
hs3	38453851	38493142	hs3	150408335	150466431
hs3	44431720	44477670	hs3	40524878	40574685
